Syntax,Description,L1_Language,L2_Category,Priority,Example,Note
shareReplay(),Cache and share Observable,ANGULAR,Functions,Core-N,data$.pipe(shareReplay(1)),Avoid duplicate API calls; buffer size 1 typical
Subject<T>(),Multicast Observable,ANGULAR,Functions,Core,private action$ = new Subject<string>(),Push values manually; use for events
ReplaySubject<T>(),Subject with buffer,ANGULAR,Functions,Advanced,private cache$ = new ReplaySubject<Data>(1),Late subscribers get buffered values
firstValueFrom(),Convert Observable to Promise,ANGULAR,Functions,Core,const data = await firstValueFrom(obs$),Use for one-time async operations
toSignal() / toObservable(),Signal-Observable interop,ANGULAR,Functions,Advanced,const sig = toSignal(obs$),Bridge between signals and RxJS in Angular 16+
HttpInterceptor,Intercept HTTP requests,ANGULAR,I/O,Core-N,implements HttpInterceptor { intercept(req; next) {} },Add auth headers; handle errors globally
CanActivate,Route guard interface,ANGULAR,Control Flow,Core-N,implements CanActivate { canActivate() {} },Protect routes; return boolean or Observable
loadChildren,Lazy load module/routes,ANGULAR,Control Flow,Core-N,loadChildren: () => import("./module"),Code splitting; smaller initial bundle
resolve,Prefetch route data,ANGULAR,Control Flow,Advanced,resolve: { data: DataResolver },Load data before route activates
RouterLink / routerLinkActive,Template navigation,ANGULAR,I/O,Core,[routerLink]="['/users'; id]" routerLinkActive="active",Preferred over manual navigation in templates
ActivatedRoute.params,Observable route params,ANGULAR,I/O,Core,this.route.params.subscribe(p => {}),Reactive params; snapshot for one-time read
environment.production,Environment config flag,ANGULAR,Variables,Core,if (environment.production) {},Switch behavior between dev and prod
@Directive(),Custom directive decorator,ANGULAR,OOP,Advanced,@Directive({ selector: "[appHighlight]" }),Attribute directive for reusable behavior
@Pipe(),Custom pipe decorator,ANGULAR,OOP,Advanced,@Pipe({ name: "customFormat" }),Transform data in templates; keep pure
AsyncValidator,Async form validation,ANGULAR,Functions,Advanced,asyncValidators: [this.uniqueValidator],Return Observable; debounce API calls
int / long / double / boolean,Primitive data types,JAVA,Data Types,Core,int count = 0; long id = 123L; double rate = 0.5;,Use primitives for performance; no null allowed
Integer / Long / Double / String,Wrapper and reference types,JAVA,Data Types,Core,Integer count = null; String name = "value";,Use wrappers for nullability and collections
var,Local variable type inference,JAVA,Variables,Core,var list = new ArrayList<String>();,Java 10+; use when type is clear from context
final,Immutable variable/constant,JAVA,Variables,Core,final String API_KEY = "abc123";,Prefer final for thread safety and clarity
(int) value,Explicit type casting,JAVA,Data Types,Core,int x = (int) 3.14;,May lose precision; check bounds first
Integer.parseInt(),Parse string to int,JAVA,Data Types,Core,int num = Integer.parseInt("42");,Throws NumberFormatException on invalid input
String.valueOf(),Convert to string,JAVA,Data Types,Core,String s = String.valueOf(123);,Null-safe unlike toString()
instanceof,Type check operator,JAVA,Operators,Core,if (obj instanceof String s) { },Pattern matching in Java 16+ assigns variable
+ - * / % ++ --,Arithmetic operators,JAVA,Operators,Core,x + y; count++;,Watch for integer overflow with large values
== != < > <= >=,Comparison operators,JAVA,Operators,Core,if (a == b) { },Use equals() for object value comparison
&& || !,Logical operators,JAVA,Operators,Core,if (a && !b) { },Short-circuit evaluation; order matters
? :,Ternary operator,JAVA,Operators,Core,int max = (a > b) ? a : b;,Use for simple conditionals only
if / else if / else,Conditional branching,JAVA,Control Flow,Core,if (x > 0) { } else { },Always use braces for clarity
switch (val) { case: },Switch statement,JAVA,Control Flow,Core,switch (status) { case "A": break; },Remember break; use switch expression instead
switch expression ->,Switch expression (Java 14+),JAVA,Control Flow,Core,String result = switch (val) { case 1 -> "one"; default -> "other"; };,No break needed; returns value; exhaustive check
for (int i = 0; i < n; i++),Classic for loop,JAVA,Control Flow,Core,for (int i = 0; i < 10; i++) { },Use for index-based access
for (T item : collection),Enhanced for-each loop,JAVA,Control Flow,Core,for (String s : list) { },Preferred for iteration; cleaner syntax
while (condition) { },While loop,JAVA,Control Flow,Core,while (hasNext()) { },Ensure exit condition to avoid infinite loop
break / continue,Loop control statements,JAVA,Control Flow,Core,break; continue;,Use labeled break for nested loops
public void method() { },Method definition,JAVA,Functions,Core,public int add(int a; int b) { return a + b; },Keep methods small and focused
return value,Return from method,JAVA,Functions,Core,return result;,Return early for guard clauses
x -> x * 2,Lambda expression,JAVA,Functions,Core,Function<Integer; Integer> sq = x -> x * x;,Use for functional interfaces; keep concise
list.forEach(System.out::println),Method reference,JAVA,Functions,Core,items.sort(String::compareToIgnoreCase);,Cleaner than lambda when method matches signature
public class ClassName { },Class definition,JAVA,OOP,Core,public class User { private String name; },One public class per file; use records for data
public interface Name { },Interface definition,JAVA,OOP,Core,public interface Service { void execute(); },Define contracts; use default methods sparingly
extends / implements,Inheritance and interface impl,JAVA,OOP,Core,class Admin extends User implements Auditable { },Prefer composition over deep inheritance
abstract class,Abstract class definition,JAVA,OOP,Core,public abstract class BaseHandler { abstract void handle(); },Use for shared implementation with extension
record ClassName(),Immutable data class (Java 14+),JAVA,OOP,Core,public record UserEvent(String userId; Instant ts) { },Auto-generates constructor/equals/hashCode/toString
new ClassName(),Object instantiation,JAVA,OOP,Core,User user = new User("name");,Consider factory methods for complex construction
this / super,Current/parent object reference,JAVA,OOP,Core,this.name = name; super.method();,super() must be first statement in constructor
@Override,Override parent method,JAVA,OOP,Core,@Override public String toString() { },Always use; catches errors at compile time
public / private / protected,Access modifiers,JAVA,OOP,Core,private String name; public void get() { },Prefer private; expose minimum necessary
static,Class-level member,JAVA,OOP,Core,public static final Logger LOG = ...;,Use for constants and utility methods
List<T>,Ordered mutable collection,JAVA,Collections,Core,List<String> list = new ArrayList<>();,ArrayList for general use; LinkedList for queues
Set<T>,Unique element collection,JAVA,Collections,Core,Set<String> set = new HashSet<>();,HashSet fast; TreeSet for sorted
Map<K; V>,Key-value collection,JAVA,Collections,Core,Map<String; Object> map = new HashMap<>();,HashMap fast; LinkedHashMap for order
List.of() / Set.of() / Map.of(),Immutable collection factories,JAVA,Collections,Core,List<String> list = List.of("a"; "b");,Java 9+; throws on modification
list.add() / list.get(),List add and access,JAVA,Collections,Core,list.add("item"); list.get(0);,get() throws IndexOutOfBoundsException
map.put() / map.get(),Map put and get,JAVA,Collections,Core,map.put("key"; value); map.get("key");,Returns null if key not found
map.getOrDefault(),Get with default value,JAVA,Collections,Core,map.getOrDefault("key"; defaultVal);,Avoid null checks with default value
Optional.ofNullable(),Null-safe optional wrapper,JAVA,Collections,Core,Optional.ofNullable(value).orElse("default");,Don't use Optional for fields; use for returns
opt.map() / opt.orElse(),Optional transformation,JAVA,Collections,Core,opt.map(String::toUpperCase).orElse("");,Chain operations; orElseGet for lazy eval
list.stream().filter().map(),Stream pipeline operations,JAVA,Collections,Core,list.stream().filter(x -> x > 0).map(x -> x * 2);,Lazy evaluation; terminal operation triggers
.collect(Collectors.toList()),Collect stream to list,JAVA,Collections,Core,stream.collect(Collectors.toList());,Use toList() in Java 16+ for immutable
.collect(Collectors.groupingBy()),Group stream elements,JAVA,Collections,Advanced,stream.collect(Collectors.groupingBy(User::getDept));,Returns Map; use downstream collector for values
try { } catch (Exception e) { },Exception handling block,JAVA,Error Handling,Core,try { risky(); } catch (IOException e) { log(e); },Catch specific exceptions; avoid catching Exception
try-with-resources,Auto-closeable resource handling,JAVA,Error Handling,Core,try (var conn = getConnection()) { },Auto-closes resources; Java 7+
throw new Exception(),Throw exception,JAVA,Error Handling,Core,throw new IllegalArgumentException("Invalid");,Use appropriate exception type; include message
throws Exception,Declare thrown exceptions,JAVA,Error Handling,Core,public void read() throws IOException { },Checked exceptions in signature; caller must handle
finally { },Cleanup block (always runs),JAVA,Error Handling,Core,finally { cleanup(); },Use try-with-resources instead when possible
Files.readString(),Read file to string,JAVA,I/O,Core,String content = Files.readString(Path.of("file.txt"));,Java 11+; specify charset if non-UTF8
Files.writeString(),Write string to file,JAVA,I/O,Core,Files.writeString(path; data);,Creates file if not exists; options for append
Files.lines(),Stream file lines,JAVA,I/O,Core,Files.lines(path).forEach(System.out::println);,Lazy loading; use try-with-resources to close
new ObjectMapper(),Jackson JSON mapper,JAVA,I/O,Core,ObjectMapper mapper = new ObjectMapper();,Reuse instance; thread-safe after config
mapper.readValue(),Parse JSON to object,JAVA,I/O,Core,User u = mapper.readValue(json; User.class);,Configure for unknown properties handling
mapper.writeValueAsString(),Serialize object to JSON,JAVA,I/O,Core,String json = mapper.writeValueAsString(obj);,Use @JsonProperty for field mapping
HttpClient.newBuilder().build(),Create HTTP client,JAVA,I/O,Core,HttpClient client = HttpClient.newBuilder().build();,Java 11+; reuse for connection pooling
HttpRequest.newBuilder(),Build HTTP request,JAVA,I/O,Core,HttpRequest req = HttpRequest.newBuilder().uri(uri).GET().build();,Fluent builder pattern; set headers as needed
client.send(req; BodyHandlers),Execute HTTP request,JAVA,I/O,Core,HttpResponse<String> resp = client.send(req; BodyHandlers.ofString());,Use sendAsync() for non-blocking
PreparedStatement,Parameterized SQL query,JAVA,I/O,Core,PreparedStatement ps = conn.prepareStatement(sql);,Prevents SQL injection; reuse for batch
ps.setObject() / ps.executeQuery(),Set param and execute query,JAVA,I/O,Core,ps.setObject(1; id); ResultSet rs = ps.executeQuery();,Index is 1-based; use setNull for nulls
ResultSet.next() / .getString(),Iterate result rows,JAVA,I/O,Core,while (rs.next()) { String val = rs.getString("col"); },Check for null with wasNull() if primitive
connection.setAutoCommit(false),Start transaction,JAVA,I/O,Core,conn.setAutoCommit(false); conn.commit();,Rollback in catch block; use try-with-resources
ExecutorService,Thread pool executor,JAVA,Functions,Core,ExecutorService exec = Executors.newFixedThreadPool(8);,Always shutdown in finally; size based on workload
executor.submit(),Submit task to executor,JAVA,Functions,Core,Future<T> future = executor.submit(callable);,Returns Future; non-blocking submit
CompletableFuture.supplyAsync(),Async computation,JAVA,Functions,Core,CompletableFuture.supplyAsync(() -> compute()).thenApply(x -> x * 2);,Chain with thenApply/thenCompose; handle errors
future.get(),Block and get future result,JAVA,Functions,Core,T result = future.get(10; TimeUnit.SECONDS);,Always set timeout to avoid deadlock
-Xms / -Xmx,Initial/max heap size,JVM,Config,Core,-Xms512m -Xmx2g,Set equal to avoid resize pauses in production
-XX:+UseG1GC,Use G1 garbage collector,JVM,Config,Core,-XX:+UseG1GC,Default in Java 9+; balanced throughput/latency
-XX:MaxGCPauseMillis,Target GC pause time,JVM,Config,Core-N,-XX:MaxGCPauseMillis=200,Hint not guarantee; tune based on workload
-XX:+HeapDumpOnOutOfMemoryError,Dump heap on OOM,JVM,Config,Core-N,-XX:+HeapDumpOnOutOfMemoryError,Essential for production debugging; set path too
jps,List JVM processes,JVM,I/O,Core,jps -l,Use -l for full class names; first step in diagnosis
jstat -gc <pid>,GC statistics,JVM,I/O,Core,jstat -gc 12345 1000,Monitor GC frequency and duration over time
jstack <pid>,Thread dump,JVM,I/O,Core-N,jstack 12345 > threaddump.txt,Capture multiple dumps to detect deadlocks
jmap -heap <pid>,Heap summary,JVM,I/O,Advanced,jmap -heap 12345,Shows generation sizes; use for capacity planning
@SpringBootApplication,Main application annotation,SPRINGBOOT,OOP,Core,@SpringBootApplication public class App { },Combines @Configuration @EnableAutoConfiguration @ComponentScan
@RestController,REST controller class,SPRINGBOOT,OOP,Core,@RestController public class UserController { },Combines @Controller and @ResponseBody
@RequestMapping,Base path mapping,SPRINGBOOT,OOP,Core,@RequestMapping("/api/users"),Set at class level for base path
@GetMapping / @PostMapping,HTTP method mappings,SPRINGBOOT,I/O,Core,@GetMapping("/{id}") public User get(@PathVariable Long id),Use specific mapping over generic @RequestMapping
@PutMapping / @DeleteMapping,HTTP method mappings,SPRINGBOOT,I/O,Core,@DeleteMapping("/{id}") public void delete(@PathVariable Long id),PUT for full update; PATCH for partial
@PathVariable,Extract path variable,SPRINGBOOT,I/O,Core,@PathVariable Long id,Name must match path placeholder
@RequestParam,Extract query parameter,SPRINGBOOT,I/O,Core,@RequestParam(defaultValue = "10") int limit,Use required=false for optional params
@RequestBody,Deserialize request body,SPRINGBOOT,I/O,Core,@RequestBody CreateUserDto dto,Jackson deserializes JSON automatically
ResponseEntity<T>,HTTP response wrapper,SPRINGBOOT,I/O,Core,return ResponseEntity.ok(user);,Control status code and headers
ResponseEntity.created(),Return 201 Created response,SPRINGBOOT,I/O,Core,return ResponseEntity.created(uri).body(user);,Include Location header for REST compliance
@Service,Service layer component,SPRINGBOOT,OOP,Core,@Service public class UserService { },Business logic layer; auto-scanned bean
@Repository,Data access component,SPRINGBOOT,OOP,Core,@Repository public interface UserRepo extends JpaRepository { },Adds persistence exception translation
@Component,Generic Spring component,SPRINGBOOT,OOP,Core,@Component public class Helper { },Use specific stereotype when applicable
@Autowired,Dependency injection (field),SPRINGBOOT,OOP,Core,@Autowired private UserService userService;,Prefer constructor injection for testability
Constructor injection,DI via constructor (preferred),SPRINGBOOT,OOP,Core,public UserService(UserRepository repo) { this.repo = repo; },Enables immutable fields and easier testing
@Bean,Define bean in config class,SPRINGBOOT,OOP,Core,@Bean public RestTemplate restTemplate() { },Method name becomes bean name
@Configuration,Configuration class,SPRINGBOOT,OOP,Core,@Configuration public class AppConfig { },Contains @Bean definitions
@Value("${prop}"),Inject property value,SPRINGBOOT,Variables,Core,@Value("${app.timeout}") private int timeout;,Use default with colon: ${prop:default}
@ConfigurationProperties,Bind properties to class,SPRINGBOOT,Variables,Core-N,@ConfigurationProperties(prefix = "app"),Type-safe configuration; validated
@Entity,JPA entity class,SPRINGBOOT,OOP,Core,@Entity @Table(name = "users") public class User { },Maps class to database table
@Id / @GeneratedValue,Primary key mapping,SPRINGBOOT,OOP,Core,@Id @GeneratedValue(strategy = GenerationType.IDENTITY),IDENTITY for auto-increment; SEQUENCE for Oracle
@Column,Column mapping,SPRINGBOOT,OOP,Core,@Column(nullable = false) private String name;,Define constraints at entity level
@OneToMany / @ManyToOne,JPA relationship mapping,SPRINGBOOT,OOP,Core,@OneToMany(mappedBy = "user") private List<Order> orders;,mappedBy on non-owning side; fetch = LAZY
@Query,Custom JPQL query,SPRINGBOOT,I/O,Core,@Query("SELECT u FROM User u WHERE u.age >= :age"),Use nativeQuery=true for SQL; named params
@Transactional,Transaction boundary,SPRINGBOOT,Functions,Core,@Transactional public void save(User user) { },Service layer; rollback on runtime exceptions
@Transactional(readOnly = true),Read-only transaction,SPRINGBOOT,Functions,Core,@Transactional(readOnly = true) public List<User> findAll(),Performance hint; flush mode NEVER
@Valid,Trigger validation,SPRINGBOOT,Functions,Core,public User create(@Valid @RequestBody UserDto dto),Validates @NotNull @Size etc on DTO
@NotNull / @NotBlank,Validation constraints,SPRINGBOOT,Functions,Core,@NotBlank private String name;,NotBlank for strings; NotNull for objects
@Size / @Min / @Max,Size/range validation,SPRINGBOOT,Functions,Core,@Size(min = 2; max = 100) private String name;,Size for strings/collections; Min/Max for numbers
@RestControllerAdvice,Global exception handler,SPRINGBOOT,Error Handling,Core,@RestControllerAdvice public class GlobalHandler { },Centralized error handling for REST APIs
@ExceptionHandler,Handle specific exception,SPRINGBOOT,Error Handling,Core,@ExceptionHandler(NotFoundException.class),Return ResponseEntity with error details
@SpringBootTest,Integration test annotation,SPRINGBOOT,Functions,Core,@SpringBootTest class AppTests { },Full application context; slower than unit tests
@Mock / @InjectMocks,Mockito test mocks,SPRINGBOOT,Functions,Core,@Mock private UserRepository repo; @InjectMocks private UserService svc;,Mock dependencies; inject into system under test
@WebMvcTest,Controller layer test,SPRINGBOOT,Functions,Core-N,@WebMvcTest(UserController.class),Loads only web layer; faster than SpringBootTest
MockMvc,Test REST endpoints,SPRINGBOOT,I/O,Core,mockMvc.perform(get("/api/users")).andExpect(status().isOk());,Simulate HTTP requests without server
@DataJpaTest,JPA repository test,SPRINGBOOT,Functions,Advanced,@DataJpaTest class UserRepoTest { },Auto-configures in-memory DB; rollbacks
@EnableWebSecurity,Enable Spring Security,SPRINGBOOT,OOP,Core-N,@EnableWebSecurity public class SecurityConfig { },Required for custom security config
SecurityFilterChain,Security configuration bean,SPRINGBOOT,Functions,Core-N,@Bean SecurityFilterChain filterChain(HttpSecurity http),Modern config style; replaces WebSecurityAdapter
.authorizeHttpRequests(),Configure authorization rules,SPRINGBOOT,Functions,Core-N,.authorizeHttpRequests(auth -> auth.anyRequest().authenticated()),Define public vs protected endpoints
@PreAuthorize,Method-level security,SPRINGBOOT,Functions,Advanced,@PreAuthorize("hasRole('ADMIN')"),Use SpEL expressions; enable with annotation
=SUM(range),Sum values in range,EXCEL,Functions,Core,=SUM(A1:A100),Most used function; ignores text and blanks
=AVERAGE(range),Average of values in range,EXCEL,Functions,Core,=AVERAGE(B1:B50),Ignores blanks; use AVERAGEA to include
=MIN(range) / =MAX(range),Minimum/maximum value in range,EXCEL,Functions,Core,=MIN(A1:A100); =MAX(A1:A100),Useful for data validation and ranges
=COUNT(range),Count numeric cells,EXCEL,Functions,Core,=COUNT(A1:A100),Only counts numbers; use COUNTA for all values
=COUNTA(range),Count non-empty cells,EXCEL,Functions,Core,=COUNTA(A1:A100),Counts text and numbers; excludes blanks
=COUNTBLANK(range),Count empty cells,EXCEL,Functions,Core,=COUNTBLANK(A1:A100),Useful for data quality checks
=SUMIF(range; criteria; sum_range),Conditional sum single criteria,EXCEL,Functions,Core,=SUMIF(A:A; "Active"; B:B),Use wildcards * and ? for patterns
=SUMIFS(sum_range; range1; crit1; ...),Conditional sum multiple criteria,EXCEL,Functions,Core,=SUMIFS(C:C; A:A; "Active"; B:B; ">100"),Sum range first unlike SUMIF
=COUNTIF(range; criteria),Conditional count single criteria,EXCEL,Functions,Core,=COUNTIF(A:A; "Complete"),Great for frequency analysis
=COUNTIFS(range1; crit1; range2; crit2),Conditional count multiple criteria,EXCEL,Functions,Core,=COUNTIFS(A:A; "Active"; B:B; ">0"),All criteria must match
=AVERAGEIF(range; criteria; avg_range),Conditional average single criteria,EXCEL,Functions,Core,=AVERAGEIF(A:A; "Q1"; B:B),Useful for segment analysis
=AVERAGEIFS(avg_range; range1; crit1),Conditional average multi criteria,EXCEL,Functions,Core,=AVERAGEIFS(C:C; A:A; "Q1"; B:B; ">0"),Average range first unlike AVERAGEIF
=SUMPRODUCT(array1; array2),Multiply arrays and sum results,EXCEL,Functions,Core,=SUMPRODUCT(A1:A10; B1:B10),Versatile; use for weighted averages
=VLOOKUP(val; table; col; FALSE),Vertical lookup exact match,EXCEL,Functions,Core,=VLOOKUP(A1; $D$1:$F$100; 2; FALSE),FALSE for exact; always lock table reference
=HLOOKUP(val; table; row; FALSE),Horizontal lookup exact match,EXCEL,Functions,Core,=HLOOKUP(A1; $A$1:$Z$3; 2; FALSE),Rarely used; prefer INDEX MATCH
=XLOOKUP(val; lookup; return),Modern flexible lookup (365),EXCEL,Functions,Core,=XLOOKUP(A1; D:D; E:E; "Not Found"),Preferred over VLOOKUP; handles errors natively
=INDEX(array; row; col),Return value at row/col position,EXCEL,Functions,Core,=INDEX(A1:C10; 5; 2),Combine with MATCH for flexible lookup
=MATCH(val; range; 0),Find position of value (exact),EXCEL,Functions,Core,=MATCH(A1; B:B; 0),0 for exact; 1/-1 for approximate
=INDEX()+MATCH(),Flexible lookup combination,EXCEL,Functions,Core,=INDEX(C:C; MATCH(A1; B:B; 0)),More flexible than VLOOKUP; column-agnostic
=IFERROR(value; fallback),Return fallback if error,EXCEL,Error Handling,Core,=IFERROR(VLOOKUP(...); "Not Found"),Catches all errors; wrap lookups
=IFNA(value; fallback),Return fallback if #N/A,EXCEL,Error Handling,Core,=IFNA(XLOOKUP(...); 0),Specific to #N/A; other errors pass through
=IF(test; true_val; false_val),Conditional logic,EXCEL,Control Flow,Core,=IF(A1>100; "High"; "Low"),Avoid nesting deeply; use IFS instead
=IFS(cond1; val1; cond2; val2),Multiple conditions (365),EXCEL,Control Flow,Core,=IFS(A1>100; "High"; A1>50; "Med"; TRUE; "Low"),Use TRUE as final catch-all
=AND(cond1; cond2),All conditions true,EXCEL,Operators,Core,=AND(A1>0; B1<100),Use in IF for multi-condition logic
=OR(cond1; cond2),Any condition true,EXCEL,Operators,Core,=OR(A1="Yes"; B1="Yes"),Combine with IF for flexible logic
=NOT(condition),Negate condition,EXCEL,Operators,Core,=NOT(A1="Inactive"),Useful for inverse logic
=CONCATENATE(text1; text2),Join text strings,EXCEL,Strings,Core,=CONCATENATE(A1; " "; B1),Legacy; use CONCAT or TEXTJOIN instead
=CONCAT(text1; text2),Join text (modern),EXCEL,Strings,Core,=CONCAT(A1; "-"; B1),Simpler than CONCATENATE; handles ranges
=TEXTJOIN(delim; ignore_empty; range),Join with delimiter,EXCEL,Strings,Core,=TEXTJOIN("; "; TRUE; A1:A10),Best for joining ranges; ignore_empty=TRUE typical
=LEFT(text; n) / =RIGHT(text; n),Extract left/right characters,EXCEL,Strings,Core,=LEFT(A1; 3); =RIGHT(A1; 4),Combine with LEN for dynamic extraction
=MID(text; start; length),Extract middle characters,EXCEL,Strings,Core,=MID(A1; 2; 5),1-indexed; use with FIND for dynamic start
=LEN(text),Length of text string,EXCEL,Strings,Core,=LEN(A1),Useful for validation and extraction
=TRIM(text),Remove leading/trailing spaces,EXCEL,Strings,Core,=TRIM(A1),Essential for data cleaning; reduces multiple spaces
=CLEAN(text),Remove non-printable characters,EXCEL,Strings,Core,=CLEAN(A1),Use with TRIM for thorough cleaning
=UPPER(text) / =LOWER(text),Convert case,EXCEL,Strings,Core,=UPPER(A1); =LOWER(A1),Standardize case for matching
=PROPER(text),Title case (capitalize first),EXCEL,Strings,Core,=PROPER(A1),Capitalizes each word
=SUBSTITUTE(text; old; new),Replace text occurrences,EXCEL,Strings,Core,=SUBSTITUTE(A1; " "; "_"),All occurrences; add 4th arg for specific instance
=FIND(find; text) / =SEARCH(find; text),Find position (case sens/insens),EXCEL,Strings,Core,=FIND("-"; A1),FIND case-sensitive; SEARCH allows wildcards
=VALUE(text),Convert text to number,EXCEL,Data Types,Core,=VALUE(A1),Fixes text-formatted numbers
=TEXT(value; format),Format number as text,EXCEL,Data Types,Core,=TEXT(A1; "yyyy-mm-dd"),Essential for date formatting
=TODAY(),Current date,EXCEL,Data Types,Core,=TODAY(),Updates daily; use for age calculations
=NOW(),Current date and time,EXCEL,Data Types,Core,=NOW(),Updates on recalculation; volatile function
=DATE(year; month; day),Create date from components,EXCEL,Data Types,Core,=DATE(2025; 1; 15),Reliable date construction
=YEAR(date) / =MONTH(date) / =DAY(date),Extract date components,EXCEL,Data Types,Core,=YEAR(A1); =MONTH(A1); =DAY(A1),Use for grouping and filtering by period
=DATEDIF(start; end; unit),Date difference (Y/M/D),EXCEL,Functions,Core,=DATEDIF(A1; B1; "D"),Hidden function; Y M D YM MD YD units
=EDATE(date; months),Add months to date,EXCEL,Functions,Core,=EDATE(A1; 3),Negative months to subtract
=EOMONTH(date; months),End of month offset,EXCEL,Functions,Core,=EOMONTH(A1; 0),0 for current month end; great for reporting
=WEEKDAY(date; type),Day of week number,EXCEL,Functions,Core,=WEEKDAY(A1; 2),Type 2: Mon=1 to Sun=7
=ROUND(value; decimals),Round to decimal places,EXCEL,Functions,Core,=ROUND(A1; 2),Banker's rounding; use 0 for whole numbers
=ROUNDUP(value; decimals),Round up,EXCEL,Functions,Core,=ROUNDUP(A1; 0),Always rounds away from zero
=INT(value),Integer part (floor),EXCEL,Functions,Core,=INT(A1),Rounds down toward zero; use for truncation
=MEDIAN(range),Median value,EXCEL,Functions,Core,=MEDIAN(A1:A100),Middle value; resistant to outliers
=STDEV(range) / =STDEV.S(range),Standard deviation (sample),EXCEL,Functions,Core-N,=STDEV(A1:A100),Use STDEV.P for population
=VAR(range) / =VAR.S(range),Variance (sample),EXCEL,Functions,Advanced,=VAR(A1:A100),Square of standard deviation
=PERCENTILE(range; k),Kth percentile value,EXCEL,Functions,Core-N,=PERCENTILE(A1:A100; 0.9),k between 0 and 1; 0.5 = median
=UNIQUE(range),Unique values (365),EXCEL,Functions,Core,=UNIQUE(A1:A100),Dynamic array; spills results automatically
=SORT(range; col; order),Sort array (365),EXCEL,Functions,Core,=SORT(A1:C10; 2; -1),-1 for descending; 1 for ascending
=FILTER(range; criteria),Filter array (365),EXCEL,Functions,Core,=FILTER(A1:C10; B1:B10>100),Dynamic filtering; add "" for if-empty
=SORTBY(range; by_range; order),Sort by another column (365),EXCEL,Functions,Core,=SORTBY(A1:C10; B1:B10; -1),More flexible than SORT; multiple sort keys
$A$1 / $A1 / A$1,Absolute/mixed references,EXCEL,Variables,Core,=SUM($A$1:$A$10); =$A1*B$1,Lock row/column when copying formulas
Named Ranges,Define names for ranges,EXCEL,Variables,Core,=SUM(SalesData); =VLOOKUP(x; ProductTable; 2; 0),Define via Formulas > Name Manager; makes formulas readable
var x int = 10,Explicit variable declaration,GO,Variables,Core,var name string = "value",Use for package-level or when type needed
x := 10,Short variable declaration,GO,Variables,Core,count := 0; name := "app",Preferred in functions; type inferred
const Pi = 3.14,Constant declaration,GO,Variables,Core,const MaxRetries = 3,Compile-time constants; no runtime overhead
const ( a = iota ),Iota for enum-like constants,GO,Variables,Core,const ( Pending = iota; Running; Done ),Auto-increments; resets in each const block
int / int64 / float64,Numeric types,GO,Data Types,Core,var count int64 = 100,int is platform-sized; use int64 for precision
string / bool,String and boolean types,GO,Data Types,Core,var active bool = true,Strings are immutable; zero value is ""
[]byte(s) / string(b),Type conversion string/bytes,GO,Data Types,Core,data := []byte(str); str := string(data),Common for I/O and encoding
nil,Zero value for pointers/slices/maps,GO,Data Types,Core,if err != nil { },Always check before using; zero value for interfaces too
+ - * / %,Arithmetic operators,GO,Operators,Core,x + y; count % 10,No implicit type conversion; must be same type
== != < > <= >=,Comparison operators,GO,Operators,Core,if x == y { },Structs comparable if all fields are
&& || !,Logical operators,GO,Operators,Core,if a && !b { },Short-circuit evaluation
&x / *p,Address-of and dereference,GO,Operators,Core,ptr := &value; val := *ptr,Use pointers to avoid copying or for mutation
if condition { },Conditional statement,GO,Control Flow,Core,if err != nil { return err },No parentheses; braces required
if x := f(); x > 0 { },If with initialization,GO,Control Flow,Core,if resp; err := http.Get(url); err != nil { },Variable scoped to if-else block
switch x { case: },Switch statement,GO,Control Flow,Core,switch status { case "ok": ... default: ... },No fall-through by default; use fallthrough if needed
for i := 0; i < n; i++ { },Traditional for loop,GO,Control Flow,Core,for i := 0; i < 10; i++ { },Only loop construct in Go
for condition { },While-style loop,GO,Control Flow,Core,for running { process() },Equivalent to while in other languages
for { },Infinite loop,GO,Control Flow,Core,for { select { case <-done: return } },Break explicitly or return
for i; v := range slice { },Range over slice/array,GO,Control Flow,Core,for i; item := range items { },Use _ to ignore index or value
for k; v := range map { },Range over map,GO,Control Flow,Core,for key; val := range config { },Iteration order is randomized
break / continue,Loop control,GO,Control Flow,Core,break; continue,Use labeled break for nested loops
func name() { },Function definition,GO,Functions,Core,func process() error { return nil },Lowercase = package-private; uppercase = exported
func f(a; b int) int { },Function with params and return,GO,Functions,Core,func add(a; b int) int { return a + b },Consecutive same-type params share type
func f() (int; error) { },Multiple return values,GO,Functions,Core,func fetch() ([]byte; error) { },Standard pattern: value + error
func f(args ...int) { },Variadic function,GO,Functions,Core,func sum(nums ...int) int { },Last param only; expand with ...
return value,Return from function,GO,Functions,Core,return result; err,Named returns allow naked return
defer f(),Defer execution until return,GO,Functions,Core,defer file.Close(),LIFO order; args evaluated immediately
defer func() { }(),Defer anonymous function,GO,Functions,Core,defer func() { cleanup() }(),Capture values with closure
type Name struct { },Struct definition,GO,OOP,Core,type Config struct { Host string; Port int },Composition over inheritance
p := Person{Name: "x"},Struct initialization,GO,OOP,Core,cfg := Config{Host: "localhost"; Port: 8080},Field names optional but recommended
p.Field,Access struct field,GO,OOP,Core,fmt.Println(cfg.Host),Use pointer receiver for mutation
